SampleID,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2
Triceratium spp.,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trigonium spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxarium spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"unknown diatom, six-horn star shape, ~10um)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akashiwo sanguinea (K.Hirasaka) Gert Hansen & Moestrup 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,,,,,,,,,
Alexandrium spp.,704,2904,2904,704,176,,,176,,,2904,1452,352,,352,,1452,,,,,352,2904,,,,,,,,,,,,,,,,,
Alexandrium tamarense (Lebour) Balech 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphidinium crassum Lohmann 1908,,,2904,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amphidinium carterae Hulburt, 1957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ceratium furca (Ehrenberg) Claparède & Lachmann, 1859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ceratium fusus (Ehrenberg) Dujardin, 1841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ceratium horridum (Cleve) Gran, 1902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratium spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochlodinium spp.,2904,,,,,,,,,,,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coolia spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,
Dinophysis acuminata Claparède & Lachmann 1859,,,,,,,,,,,,,,,,,,,,,,176,352,,,352,176,,,,,,,,,,,,,
"Dinophysis miles Cleve, 1900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
